No.	SiO2	TiO2	Al2O3	Fe2O3	FeO	FeOtotal	MnO	MgO	CaO	Na2O	K2O	P2O5	LOI	Suma
TM2A	63,97	0,63	14,54	1,45	5,57	6,87	0,17	0,23	2,2	4,72	5,5	0,09	0,34	99,41
107	74,73	0,23	11,98	0,81	2,34	3,07	0,07	0,16	0,7	3,16	5,06	0,03	0,99	100,26
170	74,86	0,24	11,94	0,58	2,55	3,07	0,05	0,18	0,76	3,74	4,25	0,02	1,04	100,21
711	68,9	0,37	14,32	1,85	2,67	4,33	0,1	0,08	1,19	3,92	6,24	0,04	0,55	100,23
549	71,77	0,36	13,09	0,89	2,1	2,90	0,05	0,12	1,02	3,69	5,83	0,05	0,41	99,38
133	73,31	0,2	13,07	1,41	0,95	2,22	0,04	0,04	0,69	4,31	5,57	0,02	0,71	100,32
602	73,99	0,21	12,55	0,92	1,77	2,60	0,06	0,06	0,85	3,82	5,36	0,03	0,45	100,07
151-3	74,9	0,15	12,24	0,78	1,38	2,08	0,05	0,03	0,9	3,74	4,86	0,03	0,41	99,47
538	62,89	0,54	16,19	1,75	4,41	5,98	0,19	0,31	2,28	5,49	5,41	0,09	0,44	99,99
532	63,71	0,56	15,66	1,7	4,49	6,02	0,18	0,4	1,91	4,99	5,62	0,11	0,41	99,74
714	64,52	0,9	14,49	2,85	4,54	7,10	0,14	0,69	2,26	3,18	5,57	0,26	1,1	100,50
519	64,66	0,58	15,08	1,47	4,44	5,76	0,17	0,41	2,03	5,03	5,52	0,12	0,39	99,90
136	76,62	0,12	11,84	1,41	0,36	1,63	0	0,04	0,46	3,9	4,67	0,01	0,63	100,06
146	77,65	0,07	11,93	0,61	0,39	0,94	0,01	0,04	0,53	3,73	4,57	0,02	0,6	100,15
542	71,01	0,21	8,94	4,23	5,24	9,05	0,13	0,07	0,58	4,74	4,21	0,01	0,16	99,53
MK1	74,14	0,14	9,34	2,59	3,24	5,57	0,09	0,05	0,6	4,01	4,33	0,01	0,26	98,80
